"PolicReqPerOffic","medIncome","householdsize","PctUnemployed","TotalPctDiv","agePct12t29","PctNotHSGrad","MedRent","OfficAssgnDrugUnits","label"
370.9,17852,2.62,8.39,12.97,34.55,31.62,353,13,"1"
0,24763,2.54,7.19,13.53,28.57,24.86,380,0,"1"
0,25479,2.89,10.16,16.57,28.82,34.18,564,0,"1"
0,20043,2.54,6.93,11.95,36.83,28.52,332,0,"1"
359.5,19143,2.74,11.05,12.74,28.17,34.5,333,12,"1"
983.1,35048,2.6,4.99,12.77,32.78,12.19,444,28,"1"
324.6,29823,2.6,8.98,11.77,27.46,31.68,496,1773,"1"
0,29043,3.34,3.5,9.33,37.22,15.83,666,0,"1"
0,34934,2.63,5.39,11.99,23.09,14.21,543,0,"1"
0,28108,2.7,7.07,16.22,30.92,21.49,548,0,"1"
0,23258,2.6,6.5,12.15,25.62,26.49,306,0,"1"
0,22052,2.86,8.34,14.22,28.79,37.55,343,0,"1"
0,14874,2.8,13.93,11.08,26.03,44.84,261,0,"1"
797.9,18395,3.84,11.24,8.73,33.12,51.16,315,8,"1"
0,34372,2.67,5.13,11.89,26.48,17.5,348,0,"1"
0,18499,2.6,7.91,14.13,26.09,43.91,316,0,"1"
0,51594,4.17,5.1,9.94,30.74,24.25,714,0,"1"
0,18060,2.95,12.45,13.52,28.12,38.54,332,0,"1"
0,21688,2.49,8.67,12.63,25.31,31.19,340,0,"1"
0,26125,2.82,7.06,11,25.39,36.09,376,0,"1"
0,22446,2.36,5.68,13.39,22.94,37.05,320,0,"1"
0,53419,2.09,1.84,16.9,20.23,5.87,879,0,"1"
592.2,54348,2.2,3.8,12.23,22.12,10.57,925,6,"1"
514.2,24819,2.54,9.92,13.62,28.65,26.84,378,30,"1"
840.2,24603,2.63,9.62,12.53,28.02,35.69,452,273,"1"
443.2,23726,2.63,5.97,11.25,29.84,30.52,346,8,"1"
0,19433,2.49,7.46,12.75,26.78,37.36,327,0,"1"
459.1,35934,2.83,4.74,13.21,28.92,18.76,469,9,"1"
840.3,19923,2.36,7.11,14.23,32.25,29.21,332,31,"1"
0,20569,2.46,8.52,11.36,25.65,31.36,277,0,"1"
