"medIncome","householdsize","PctUnemployed","TotalPctDiv","agePct12t29","label"
17852,2.62,8.39,12.97,34.55,"1"
24763,2.54,7.19,13.53,28.57,"1"
25479,2.89,10.16,16.57,28.82,"1"
20043,2.54,6.93,11.95,36.83,"1"
19143,2.74,11.05,12.74,28.17,"1"
35048,2.6,4.99,12.77,32.78,"1"
29823,2.6,8.98,11.77,27.46,"1"
29043,3.34,3.5,9.33,37.22,"1"
34934,2.63,5.39,11.99,23.09,"1"
28108,2.7,7.07,16.22,30.92,"1"
23258,2.6,6.5,12.15,25.62,"1"
22052,2.86,8.34,14.22,28.79,"1"
14874,2.8,13.93,11.08,26.03,"1"
18395,3.84,11.24,8.73,33.12,"1"
34372,2.67,5.13,11.89,26.48,"1"
18499,2.6,7.91,14.13,26.09,"1"
51594,4.17,5.1,9.94,30.74,"1"
18060,2.95,12.45,13.52,28.12,"1"
21688,2.49,8.67,12.63,25.31,"1"
26125,2.82,7.06,11,25.39,"1"
22446,2.36,5.68,13.39,22.94,"1"
53419,2.09,1.84,16.9,20.23,"1"
54348,2.2,3.8,12.23,22.12,"1"
24819,2.54,9.92,13.62,28.65,"1"
24603,2.63,9.62,12.53,28.02,"1"
23726,2.63,5.97,11.25,29.84,"1"
19433,2.49,7.46,12.75,26.78,"1"
35934,2.83,4.74,13.21,28.92,"1"
19923,2.36,7.11,14.23,32.25,"1"
20569,2.46,8.52,11.36,25.65,"1"
18357,2.49,9.5,13.15,25.38,"1"
21748,2.49,8.12,14.15,31.47,"1"
19157,2.62,8.51,10.51,25.11,"1"
37683,2.76,7.31,12.32,27.85,"1"
33411,2.47,7.22,10.93,21.74,"1"
25592,2.34,6.16,16.07,25.57,"1"
47204,2.53,3.95,11.64,25.37,"1"
42962,2.59,3.82,13.43,27.2,"1"
25811,2.66,9.25,12.44,34.55,"1"
18095,2.66,8.37,14.97,27.88,"1"
19063,2.67,9.13,10.44,29.26,"1"
37073,2.75,4.78,12.03,27.56,"1"
24292,3.29,11.09,12.74,30.79,"1"
30141,2.11,4.77,19.11,30.87,"1"
