,householdsize,PctUnemployed,medIncome,PolicReqPerOffic,TotalPctDiv,PctNotHSGrad,violent_crime_occurence
0,3.1,2.7,75122,0.0,4.47,9.9,0
1,2.82,2.43,47917,0.0,5.42,13.72,0
2,2.43,4.01,35669,0.0,12.55,9.09,0
3,2.4,9.86,20580,0.0,12.91,33.68,0
4,2.76,9.08,17390,0.0,9.73,23.06,0
5,2.45,5.72,21577,0.0,13.04,23.03,0
6,2.6,4.85,42805,0.0,7.64,13.89,0
7,2.45,8.19,23221,0.0,14.94,28.67,0
8,2.46,4.18,25326,0.0,8.64,11.27,0
9,2.62,8.39,17852,370.9,12.97,31.62,1
10,2.54,7.19,24763,0.0,13.53,24.86,1
11,2.89,10.16,25479,0.0,16.57,34.18,1
12,2.54,6.93,20043,0.0,11.95,28.52,1
13,2.74,11.05,19143,359.5,12.74,34.5,1
14,2.53,3.67,25797,0.0,7.32,25.41,0
15,2.69,4.17,37856,0.0,9.75,14.64,0
16,2.85,4.01,44635,0.0,8.38,21.62,0
17,2.62,6.95,34372,1245.5,11.12,22.83,0
18,2.67,2.57,49851,0.0,8.64,5.95,0
19,2.6,4.99,35048,983.1,12.77,12.19,1
20,2.77,3.24,51314,0.0,9.09,5.56,0
21,2.6,8.98,29823,324.6,11.77,31.68,1
22,3.34,3.5,29043,0.0,9.33,15.83,1
23,2.36,3.14,32221,0.0,11.94,17.61,0
24,2.63,5.39,34934,0.0,11.99,14.21,1
25,2.54,3.31,26198,0.0,11.54,22.43,0
26,2.35,2.69,45892,0.0,12.8,7.59,0
27,2.7,7.07,28108,0.0,16.22,21.49,1
28,2.6,6.5,23258,0.0,12.15,26.49,1
29,2.86,8.34,22052,0.0,14.22,37.55,1
30,2.8,13.93,14874,0.0,11.08,44.84,1
31,3.84,11.24,18395,797.9,8.73,51.16,1
32,2.36,8.97,22166,0.0,10.7,31.33,0
33,3.03,5.73,36618,0.0,9.06,13.97,0
34,2.67,5.13,34372,0.0,11.89,17.5,1
35,2.71,10.34,27230,0.0,14.31,30.95,0
36,2.6,7.91,18499,0.0,14.13,43.91,1
37,4.17,5.1,51594,0.0,9.94,24.25,1
38,2.95,12.45,18060,0.0,13.52,38.54,1
39,2.37,2.43,54658,0.0,11.26,8.38,0
40,2.76,7.71,23534,672.8,12.12,29.08,0
41,2.49,8.67,21688,0.0,12.63,31.19,1
42,2.87,14.4,21962,493.7,17.89,37.61,0
43,2.82,7.06,26125,0.0,11.0,36.09,1
44,2.36,5.68,22446,0.0,13.39,37.05,1
45,2.66,5.55,38742,0.0,7.69,20.23,0
46,2.09,1.84,53419,0.0,16.9,5.87,1
