"medIncome","assaults","label"
17852,1043,"1"
24763,131,"1"
25479,362,"1"
20043,269,"1"
19143,531,"1"
35048,1396,"1"
29823,62778,"1"
29043,47,"1"
34934,72,"1"
28108,540,"1"
23258,132,"1"
22052,50,"1"
14874,160,"1"
18395,862,"1"
34372,111,"1"
18499,207,"1"
51594,117,"1"
18060,133,"1"
21688,176,"1"
26125,304,"1"
22446,78,"1"
53419,164,"1"
54348,72,"1"
24819,1195,"1"
24603,6821,"1"
23726,351,"1"
19433,394,"1"
35934,481,"1"
19923,2200,"1"
20569,111,"1"
18357,143,"1"
21748,3111,"1"
19157,97,"1"
37683,93,"1"
33411,723,"1"
25592,5603,"1"
47204,390,"1"
42962,371,"1"
25811,1154,"1"
18095,51,"1"
19063,142,"1"
37073,296,"1"
24292,134,"1"
30141,95,"1"
32877,78,"1"
23453,1754,"1"
31671,184,"1"
21407,786,"1"
21238,93,"1"
30925,42437,"1"
33969,39,"1"
28655,215,"1"
22059,300,"1"
20711,75,"1"
22192,1079,"1"
21221,421,"1"
23269,211,"1"
25655,182,"1"
28289,289,"1"
19397,360,"1"
29206,400,"1"
20864,1309,"1"
20745,81,"1"
22772,6124,"1"
27489,9439,"1"
24814,185,"1"
42971,52,"1"
22112,334,"1"
17826,223,"1"
32165,1752,"1"
15917,681,"1"
64338,28,"1"
19474,109,"1"
38532,235,"1"
31938,3073,"1"
19829,143,"1"
21864,249,"1"
25741,4161,"1"
21946,135,"1"
18962,122,"1"
22610,161,"1"
22032,67,"1"
16600,191,"1"
34850,479,"1"
14509,89,"1"
18743,380,"1"
28824,486,"1"
22224,226,"1"
35911,96,"1"
25982,123,"1"
43882,769,"1"
36843,241,"1"
26680,286,"1"
21372,102,"1"
36222,222,"1"
18519,75,"1"
51913,221,"1"
20213,316,"1"
28388,470,"1"
33273,456,"1"
32857,181,"1"
30534,219,"1"
26615,816,"1"
23491,141,"1"
28024,1103,"1"
28611,270,"1"
22697,681,"1"
18593,84,"1"
16331,651,"1"
21468,184,"1"
24127,54,"1"
17658,156,"1"
25268,437,"1"
42186,1089,"1"
29450,42,"1"
23963,752,"1"
25075,241,"1"
20329,525,"1"
18482,2772,"1"
21885,578,"1"
24884,529,"1"
25790,555,"1"
29463,470,"1"
31146,500,"1"
19970,114,"1"
24869,247,"1"
30967,960,"1"
22102,464,"1"
22661,391,"1"
28121,224,"1"
20810,101,"1"
28183,2288,"1"
24462,683,"1"
27301,359,"1"
27279,387,"1"
26547,3589,"1"
34492,234,"1"
35794,215,"1"
14555,108,"1"
32493,253,"1"
21352,196,"1"
22783,167,"1"
14579,196,"1"
36383,161,"1"
26500,172,"1"
31561,191,"1"
32793,40,"1"
24131,577,"1"
26233,97,"1"
36233,767,"1"
25910,546,"1"
30529,497,"1"
34873,172,"1"
20858,355,"1"
37025,180,"1"
23886,87,"1"
22276,87,"1"
30739,526,"1"
33414,4421,"1"
38907,141,"1"
33313,197,"1"
35997,671,"1"
30287,388,"1"
22032,345,"1"
25698,181,"1"
22100,85,"1"
16442,250,"1"
26372,45,"1"
25106,2922,"1"
38122,208,"1"
25918,483,"1"
22210,177,"1"
21225,441,"1"
27154,72,"1"
21881,360,"1"
25976,189,"1"
34891,461,"1"
27469,1334,"1"
22514,142,"1"
24649,274,"1"
16496,88,"1"
19456,87,"1"
31368,129,"1"
23933,454,"1"
35516,275,"1"
18049,119,"1"
23835,389,"1"
29180,6184,"1"
18393,485,"1"
18870,142,"1"
22194,193,"1"
27631,464,"1"
25341,858,"1"
26960,994,"1"
31308,145,"1"
35558,864,"1"
20393,101,"1"
19038,177,"1"
38956,56,"1"
33367,164,"1"
21898,4705,"1"
21645,168,"1"
18617,188,"1"
24128,99,"1"
15708,130,"1"
17876,145,"1"
22807,346,"1"
29881,858,"1"
18253,217,"1"
25708,3385,"1"
30786,510,"1"
30043,112,"1"
37889,90,"1"
40059,59,"1"
32132,1237,"1"
21870,314,"1"
19799,47,"1"
26889,4468,"1"
20349,62,"1"
19042,151,"1"
26622,250,"1"
20641,196,"1"
29211,118,"1"
21824,1000,"1"
24898,448,"1"
24375,110,"1"
36097,66,"1"
23270,1019,"1"
31889,163,"1"
46758,77,"1"
19779,1129,"1"
35681,244,"1"
31448,103,"1"
44002,52,"1"
41922,182,"1"
23460,4220,"1"
21053,113,"1"
36634,90,"1"
16574,134,"1"
37473,208,"1"
22365,174,"1"
21483,61,"1"
25533,3805,"1"
29314,352,"1"
22785,843,"1"
29351,874,"1"
25576,469,"1"
25689,187,"1"
26218,1166,"1"
32451,1114,"1"
17386,1155,"1"
28034,698,"1"
25414,1148,"1"
20095,104,"1"
18683,583,"1"
23497,90,"1"
25380,152,"1"
21310,252,"1"
22591,305,"1"
26713,6402,"1"
21459,182,"1"
38124,757,"1"
36376,446,"1"
17959,253,"1"
19955,444,"1"
46206,3699,"1"
28911,212,"1"
20099,74,"1"
25567,149,"1"
22423,1194,"1"
26629,187,"1"
31873,6020,"1"
25473,161,"1"
22197,2131,"1"
25855,160,"1"
32145,27,"1"
20463,127,"1"
18477,4152,"1"
11576,605,"1"
32605,209,"1"
26934,120,"1"
22446,870,"1"
19187,790,"1"
21633,58,"1"
23216,1422,"1"
23630,67,"1"
21011,131,"1"
26630,2496,"1"
36945,225,"1"
27415,176,"1"
37174,908,"1"
26086,137,"1"
32237,40,"1"
33140,643,"1"
30121,269,"1"
24045,8548,"1"
39538,58,"1"
22068,547,"1"
26409,520,"1"
20731,183,"1"
24971,998,"1"
24081,192,"1"
24712,351,"1"
18619,177,"1"
17058,108,"1"
44700,489,"1"
21078,494,"1"
21946,77,"1"
45820,85,"1"
22674,3824,"1"
35228,146,"1"
54497,65,"1"
25021,277,"1"
18548,713,"1"
15531,128,"1"
43148,72,"1"
26710,49,"1"
20594,498,"1"
39087,181,"1"
15605,244,"1"
29492,296,"1"
28242,463,"1"
28377,296,"1"
33527,101,"1"
41187,52,"1"
22577,369,"1"
78965,33,"1"
20374,83,"1"
40683,179,"1"
39967,378,"1"
15795,70,"1"
22168,124,"1"
35103,822,"1"
27552,142,"1"
20380,261,"1"
21003,473,"1"
30273,1808,"1"
19030,105,"1"
18546,1613,"1"
43946,1410,"1"
30938,314,"1"
19507,298,"1"
23430,582,"1"
19016,224,"1"
21881,269,"1"
20309,618,"1"
26701,132,"1"
41449,56,"1"
22129,485,"1"
20382,233,"1"
26394,305,"1"
27095,111,"1"
26470,118,"1"
36886,557,"1"
21344,97,"1"
24923,2329,"1"
15890,771,"1"
20298,149,"1"
41921,325,"1"
21618,51,"1"
25983,347,"1"
24294,68,"1"
19390,1271,"1"
26883,824,"1"
18913,658,"1"
24146,297,"1"
17826,106,"1"
22053,183,"1"
31885,518,"1"
21205,146,"1"
30693,210,"1"
27483,52,"1"
22504,121,"1"
18683,159,"1"
26950,249,"1"
26877,80,"1"
20141,1159,"1"
17552,50,"1"
21061,784,"1"
25153,602,"1"
26576,261,"1"
27256,724,"1"
34050,263,"1"
25926,237,"1"
21006,2806,"1"
25000,190,"1"
17196,364,"1"
30590,3183,"1"
21558,88,"1"
21038,408,"1"
18858,270,"1"
30908,342,"1"
27371,214,"1"
42748,80,"1"
15570,66,"1"
20609,443,"1"
24130,840,"1"
30733,253,"1"
31712,759,"1"
26119,2809,"1"
59076,268,"1"
25384,81,"1"
24296,348,"1"
24316,448,"1"
15576,241,"1"
27095,4743,"1"
18631,916,"1"
12908,169,"1"
26144,144,"1"
42481,350,"1"
22886,601,"1"
18641,74,"1"
50468,101,"1"
24644,82,"1"
21949,138,"1"
32154,1237,"1"
28097,46,"1"
25152,692,"1"
21650,3977,"1"
26810,922,"1"
23487,254,"1"
21309,293,"1"
30151,227,"1"
22147,601,"1"
23958,235,"1"
30489,203,"1"
23603,70,"1"
32341,85,"1"
33498,315,"1"
27074,217,"1"
22279,290,"1"
34836,58,"1"
47143,209,"1"
16586,64,"1"
24056,631,"1"
24319,102,"1"
27312,247,"1"
20053,131,"1"
19077,162,"1"
47506,170,"1"
22859,171,"1"
22468,224,"1"
19259,77,"1"
32559,132,"1"
25982,196,"1"
25377,341,"1"
23563,1075,"1"
19193,4554,"1"
14579,55,"1"
28704,848,"1"
21665,316,"1"
23127,109,"1"
27770,270,"1"
33667,463,"1"
25015,70,"1"
15315,133,"1"
21851,240,"1"
23819,327,"1"
22357,190,"1"
25751,166,"1"
20429,113,"1"
40955,216,"1"
26265,61,"1"
32690,342,"1"
26344,317,"1"
25009,179,"1"
19807,405,"1"
30389,584,"1"
31461,46,"1"
24470,126,"1"
26276,186,"1"
46885,109,"1"
25147,160,"1"
22267,261,"1"
32098,69,"1"
47533,213,"1"
18276,158,"1"
22677,132,"1"
17060,1223,"1"
31793,58,"1"
25324,2727,"1"
30037,191,"1"
25238,220,"1"
24509,104,"1"
33063,437,"1"
16223,950,"1"
22664,124,"1"
41974,929,"1"
22515,131,"1"
21897,269,"1"
33453,969,"1"
13704,128,"1"
40256,279,"1"
32150,110,"1"
22183,925,"1"
33686,8283,"1"
23584,2973,"1"
35237,326,"1"
19391,668,"1"
21745,345,"1"
41435,188,"1"
13060,163,"1"
23551,1411,"1"
37695,128,"1"
23038,156,"1"
21242,703,"1"
27293,301,"1"
26669,204,"1"
41675,342,"1"
22140,1470,"1"
21119,89,"1"
33214,3532,"1"
21603,87,"1"
20618,39,"1"
30533,239,"1"
30147,184,"1"
31266,155,"1"
25333,2204,"1"
23318,186,"1"
26722,388,"1"
22476,157,"1"
25422,191,"1"
36058,839,"1"
27606,131,"1"
20347,96,"1"
31605,149,"1"
32393,120,"1"
16305,98,"1"
35684,246,"1"
23695,244,"1"
26787,178,"1"
24495,560,"1"
21427,167,"1"
36652,128,"1"
21529,120,"1"
23627,1411,"1"
27591,326,"1"
25719,916,"1"
27538,324,"1"
35083,199,"1"
21085,149,"1"
33084,169,"1"
33482,74,"1"
32194,131,"1"
30727,9003,"1"
40936,344,"1"
23078,176,"1"
19099,781,"1"
26674,81,"1"
43490,215,"1"
40327,41,"1"
13804,120,"1"
25961,1195,"1"
29737,773,"1"
20185,159,"1"
22275,9541,"1"
22647,974,"1"
35788,846,"1"
34344,372,"1"
26473,886,"1"
20565,105,"1"
28553,994,"1"
32711,729,"1"
19950,82,"1"
39975,219,"1"
34383,619,"1"
42948,594,"1"
15917,168,"1"
23156,342,"1"
24346,577,"1"
21160,78,"1"
15732,95,"1"
19775,102,"1"
34727,189,"1"
22176,157,"1"
32633,61,"1"
38859,392,"1"
21401,254,"1"
17682,132,"1"
28513,6989,"1"
17897,138,"1"
41533,362,"1"
27101,506,"1"
21198,186,"1"
17811,72,"1"
27236,275,"1"
21920,76,"1"
45739,233,"1"
35479,324,"1"
24517,113,"1"
25670,138,"1"
29354,96,"1"
29054,1964,"1"
25223,111,"1"
37080,123,"1"
23634,321,"1"
26540,353,"1"
25828,281,"1"
23194,451,"1"
27239,973,"1"
35425,116,"1"
31741,95,"1"
21301,203,"1"
28734,332,"1"
22750,184,"1"
25029,344,"1"
25773,191,"1"
24055,432,"1"
16853,131,"1"
20478,165,"1"
14839,123,"1"
31701,994,"1"
24966,40,"1"
20825,684,"1"
18627,40,"1"
41472,334,"1"
27065,90,"1"
23887,45,"1"
27352,518,"1"
20747,1389,"1"
39886,409,"1"
29770,377,"1"
41670,49,"1"
27708,268,"1"
21433,101,"1"
29116,30,"1"
22709,317,"1"
29683,1375,"1"
27893,66,"1"
24915,821,"1"
28838,261,"1"
39882,441,"1"
32128,138,"1"
22085,312,"1"
21040,120,"1"
26876,1744,"1"
38619,43,"1"
21054,117,"1"
25823,94,"1"
21812,203,"1"
32895,481,"1"
35862,52,"1"
34796,95,"1"
32014,76,"1"
19110,160,"1"
29015,629,"1"
28035,145,"1"
16925,7089,"1"
23153,126,"1"
25452,80,"1"
24887,41,"1"
27555,4835,"1"
46988,166,"1"
25369,556,"1"
21397,117,"1"
21552,314,"1"
38463,296,"1"
25053,164,"1"
43500,84,"1"
26336,69,"1"
38789,127,"1"
50471,240,"1"
21766,508,"1"
33385,75,"1"
38108,115,"1"
24244,97,"1"
28642,72,"1"
36097,342,"1"
19894,310,"1"
32295,1751,"1"
23578,259,"1"
25893,742,"1"
27980,347,"1"
13863,107,"1"
31769,70,"1"
30876,140,"1"
25773,1488,"1"
21077,948,"1"
32684,224,"1"
34801,2524,"1"
22591,1151,"1"
26361,93,"1"
24354,1081,"1"
25035,592,"1"
23815,71,"1"
23584,412,"1"
33502,85,"1"
16769,54,"1"
20396,262,"1"
17631,370,"1"
24906,344,"1"
41958,466,"1"
24601,532,"1"
20841,398,"1"
35483,50,"1"
